"HolderAddress","Balance","PendingBalanceUpdate"
"0xc4c3d463b70b0e5da91a28f43daf4c8f19efe655","2,112,735.928327220351389515","No"
"0xd13ad36cfe0efded768339a643375fb19a4faecd","2,095,918.518959249744069241","No"
"0xa5b1578de9cc6611895823bcba6058cacfa8f48a","2,068,661.547456765644843285","No"
"0xa2a8bdb3797050da4efd8c168bddd1d4331506e1","2,020,532.844324123668741646","No"
"0x879c2377bd3364c408a166d8fbef543e595e193a","2,012,020.822862695556433236","No"
"0x686c2abd6a1bbdb0fa7acd7fc4eb4fbf853a8169","1,990,671.551621634662906217","No"
"0x52111adc85a1c153fd1c886cd3f188188cbf5a38","1,960,686.962932158590323512","No"
"0xdb12ab3b59d9a27e537d27310820449e379ff8c9","1,943,794.298185623060115799","No"
"0x4032e3e15bbc70e8906254e5ed193ed3dfcc9544","1,936,790.865593806341617679","No"
"0x27de4eb047ebb0daed9f0a414acd2ae690c6e412","1,924,238.527975360700907115","No"
"0x71fd960ad0c806d876419565b99f48e6547a5a29","1,887,876.78398183621988081","No"
"0xf9a454ac862961d19c56b6c45ffbe9d04c6165ac","1,829,159.983602898067003762","No"
"0x3f25a5a9d7712f50514d96c8f6aca865bd983e14","1,730,295.66431576211660173","No"
"0x6bbe0f186608630352cf0181573e5ae8be1fab58","1,726,707.338858349170310212","No"
"0x48c03b8d1b8e9cc47bffda1d31e64ceb69783593","1,692,172.294446550445152124","No"
"0x5dc5179689753c25b990b2ccb5e2bb5c68e1c387","1,676,897.2612077450312707","No"
"0x23236ee336b876f6f67f8fbebebc73efa8fbf04e","1,601,728.803143958207478816","No"
"0xf0a7fe33ca8fb0e75d90b5ed10dc76b6ae676bd9","1,590,341.242934233573137151","No"
"0xac5d901e58e361a5236cbf8cde7e3a8e7531d0f7","1,565,423.847407797256963628","No"
"0xd2553f05853fea2705e45c06f9b63032cfca88bb","1,563,863.308966385541561841","No"
"0xd44c6395ff4704523da525b4ef32fb1a46c21484","1,533,617.533429501756156939","No"
"0x851002c7d6a4c8ec7650ffbe4ad70cf745573c33","1,506,938.334488834086758332","No"
"0x690dc39275c3f18e22094f8733a8d4c4aef6393a","1,500,070.000000000026982872","No"
"0xee9b89df4d6565a7c22b0787db62e00b0df1f6c7","1,500,048.559539904029437647","No"
"0x4dc3eea24b8757fa584440fbc62b2d43aa6a494e","1,471,253.673910349890232526","No"
"0x77a4998083ec75e7263c4611f9b880f3cc4a2be8","1,468,123.620499450697800308","No"
"0x582f5e24fc55e1d36d3991ae08f109225e006e3e","1,462,555.473696754283246902","No"
"0x6afc666e1534ace980fd0d0c169a5bb0d16f7e87","1,402,450.853226175447617439","No"
"0x5376d99a1ffbe3fce5f9741c1c52867b8daa8c33","1,309,498.107484306485480352","No"
"0x395224cac00447cf811fb110f0af5110d7621419","1,300,483.483558467809657114","No"
"0x0b492c5742ef00052d2125a3e6a2b913e533e8a1","1,287,964.128690076021191874","No"
"0x3133afe186297122d72b3b8377092aa53000fe2c","1,280,270.000394169501869873","No"
"0x0790f352e688284f320fbc5b697b554799d1a832","1,269,874.839160688132169125","No"
"0x39765418615a91661f44d87abe63b1c608300b90","1,257,047.712587244260784473","No"
"0xe531ffda9f704e24cd696b9a311247ffd55b7489","1,250,000","No"
"0x96f1784feccf2a1209d43a76f9cc75c7bbfd2939","1,236,210.348212496252795081","No"
"0x174dedda42fcbbcd5b1b89b348b215be122c907c","1,225,225.629554188489146098","No"
"0x0a648cc8011d9972a7cacceec785d1b32a827f63","1,184,067.651121043797586395","No"
"0x0b348efd714ee513c3e54a72dace0db933b70a25","1,176,904.48","No"
"0x5321aef20942d70ba1bd3f1248783ebb4a7775d8","1,174,177.874659229925857277","No"
"0x1c409c8de5aa443b180081c68b61fb78eb7bf0ce","1,165,243.376643390906635813","No"
"0x5037f0bb797896659d9d4c2e23d2fa87bc7f2c23","1,134,161.774233415857180949","No"
"0x1bd6e5e2a9576d97d62fb70d8a43fc293fdf0187","1,128,512.590619594984064736","No"
"0xaa044e535ac4237e2e6bc7fd0cab319453dfd78b","1,109,167.759905239","No"
"0x09aba19385b92996d23fbd0b2dbf228194b72725","1,075,097.287234684113605922","No"
"0x96bb0064adcdfc7f511e3aa2a984e887bf8e25e2","1,067,660.613990724035327796","No"
"0x8fde0471ecca91d0460006871ee8e82ecbc1e744","1,066,880.319658648678975947","No"
"0x381d1ee584f479026f0324fbadddff51efd49b06","1,066,647.837224827917841871","No"
"0xfba2ee61fe46594d09a8cfe3e61faf53091cd8fc","1,051,713.669483115428199459","No"
"0xdf52cfa1a39202db654f7ece54d4113d01064d61","1,050,904.452780561631963664","No"
"0x7e457d8f1a44dbaee2db7cccb449521d56e47e98","1,007,623.676115897270068942","No"
"0xa9bc6f75bd3f643242f5cc05f895a4307f9ca4c1","1,005,215.013835516535084094","No"
"0xb5de18d2474bb10668c1bd4599cd0c117de64aea","1,004,527.474471","No"
"0x40bf7d76e6bad83f04d49b31c573fc8cc7d7260e","1,002,651.73356421164823898","No"
"0x0c80ab38b0eec288bb275659829daa987f45ec2f","1,000,949.59659983484969082","No"
"0xf21b9170d894502778c7e64f6cb6d6de74ecf442","1,000,000.007539644672659992","No"
"0x36c106ac828a80505899cca016233d59115494fb","1,000,000","No"
"0x132caad87f75bff7a9f07efc32d79aa7c480ff84","990,330.934298583964111416","No"
"0x8cf8e84df263083980b08a39e657e9b6b7bcf73e","985,314.035498095921453908","No"
"0xc7f19acfec38a89ea24f6908e5e4027602e26597","977,829.856019570830723136","No"
"0xdef96579f52be373f150e2e0e59b92b37b77d151","943,243.551064578173875315","No"
"0xcf9f4bec6e04a866e50cb74cacb19a86ed4dd3ff","937,990.495253401","No"
"0x772d9ec64003c57dc4caf3cfa2bb606448fecdcb","929,184.237886406628303555","No"
"0x83bd9681c718178db69e44785c71f3a908539851","913,003.10822652543249288","No"
"0x64d069a3f378a0b6d4d71ce01f1b350fdd4c6c23","895,669.992985100775530052","No"
"0xd3c27c686de7b86223a5d72bfe585e64e8d80ef9","881,388.853966009385940187","No"
"0x28e7e27ec2fd4f963a599d493ad0fd44053f219b","852,403.705161041061012785","No"
"0x791d42884938b57e0636f1625f1ba4fbbaeb3d18","847,039.215042654969720495","No"
"0x132c82c30b5d14c4b7b5bf1a75d62bf51d42c761","809,061.934888425550249983","No"
"0x9c555b622e23da9d50c42b5ce0e89d29aac36e0d","800,315.285764916915688982","No"
"0x4490310768e34ee214a1bd6748437c7dab40bb76","778,124.955498321695024355","No"
"0x758d8985d43f212244601e580eda2485f393dda1","772,296.758891032316427154","No"
"0xb205c5c4ed703dd1a1c9b82e968ffc01ef8d6148","758,377.480814517197543418","No"
"0xcf5ad4b43e2a0c59295bf22b8b69f828244b3078","741,253.352344788969632175","No"
"0x38c565df8585e36f16ab9178bff21b723e124a3d","740,962.9105145204402145","No"
"0x359c8d419e0ffac193e941a227f59113d9643de5","734,006.984014486150183314","No"
"0xde208d77293693f86e84a16f2ebe90cc24ab7d50","729,570.490241271653520801","No"
"0xb13f830c8333b35339d35a7dfad9558cb41e9f99","726,191.721635","No"
"0xd08c3b2a879b31f8597d0e2d16fcb996f624b141","708,974.019035647410673698","No"
"0x61179a8fd247a563218b5599c984ab7ae537c2eb","703,654.252294463000305052","No"
"0xfc67429ea03a9bc717f519b7e70c5c42ac79e84f","694,477.136315245414326228","No"
"0x68941ccfe8348ca371cf2c3e024932f40da0f970","692,530.814348915772761028","No"
"0x3ce2b820888a4f41142ea78595ff7e91b698a861","690,328.031871250615385384","No"
"0xd385802246b33ccc95cf4d3189c695883c93b369","684,815.707676054222110246","No"
"0x5dd0097ea4cd3b1b16ca880caa328284dcd1243a","682,671.249612695261552593","No"
"0xb6027ebb397b1d52ccbe0622a2fc5771cb5bcd96","682,339.422097475194470231","No"
"0xd76d5823747fa83faa0353947a24a59f5378916c","681,242.6550660783075899","No"
"0x5d7fffacfbbee0adc56e4be5b4385b83b7d3e76c","670,080.496798318629979763","No"
"0xb135c47cbc9a21ff10a059df47dab821e809bf93","668,804.573812414146548391","No"
"0xeddb1763aa52ec46706d6105f565017fc4dc6787","661,497.884015057928282936","No"
"0x2851f9e431aa94742473d91968262469ef383fa6","642,423.352540983019146182","No"
"0xa9519254237cb10f026a7f51ed42f81e8f401b92","642,132.504394770010948015","No"
"0x9a8952f2d58734cdc17a8a1591376cd27a79600c","640,553.598058571233513355","No"
"0x8eb07330f475f0edf8ecaed11dd06084aa189c4a","638,291.676114069442440483","No"
"0x586014226e0e9767ccd80ed45fb261101040e319","633,348.80173408403909544","No"
"0x0d2b7a94964df022b06c6a9b6b8062fcfe3fd5c7","631,707.063722874629405984","No"
"0x200d9eef252386e4b95ac06565f8fe4354b10ea8","620,000.000000752113263873","No"
"0x87e75bfbead7da7b1b2af364d16e4d110d09f4a9","619,838.819200066304210775","No"
"0x6b9f9491af529c0bbe3035d77d45dc702bb7008d","612,999.137227029745267846","No"
"0xba59e47435868a4a1062a95eb9b418115d3ad955","611,624.896096258477020441","No"
"0xfbcf7b84ee9cf7dd7d64c053538b6a45446b0250","600,048.249328784217065024","No"
"0x15c30c1433d82d9a4c11903c892bfb1d0dd621ef","597,811.633041232834692135","No"
"0x124c9f2ad2558ad0f305802e87549e7885152dff","594,492","No"
"0x6a36bfae58bc0a0a19d1ae3af19d26616f17fdcc","582,142.9323425650934179","No"
"0x07d558582c3e5c6948bb7adbb7b02ea5997f1ede","570,838.77069171786624243","No"
"0xe42e83efc2784d834ddfd19728ab5456d1d66358","568,363.381337364153985311","No"
"0x6493d7e3651b3d7fbf4ba9b4f03b970b9bd3b6ec","564,199.586263677536388148","No"
"0x7cf335c58997149662eae7f23adfc76da2018227","550,626.448961183682671283","No"
"0xa9b9de2ec1bab88ff00d6527dc065fabacba1189","550,100","No"
"0xca2a02cb34219ee751f04edd5347f5a6810854d0","546,969.693061362337491034","No"
"0x492c17df163677f63c7d5272f8b1618eb6407c46","546,074.91983500251964376","No"
"0x29f42725c263bb956454115f4e689aa2c1a17e00","541,443.461171475584602544","No"
"0xa651b8797c1047e543b3c225f3d2bcc9e07e165b","539,967.208192602218319627","No"
"0x013086edd74d71a643fb0baee529795cac0ce142","532,870.807130834113833048","No"
"0x6265329eba36c6c3f9acefb9b59dec50e4e821c8","523,944.132923826709305233","No"
"0xe77584b23ec01e4586a490a8dbfe215ac146a53d","522,179.387986262914039134","No"
"0x064f2bff33bfdcf58f89c557c8b6d62026acbafe","520,377.040188718485442306","No"
"0xa43004892f474a1fd232cbe02bd84538420edee3","520,162.737342241849005227","No"
"0x45b3342a43519295909e8b410cb45a71ef70727c","511,302.609559918358265204","No"
"0x4dabd70c02bd76217d45b27d0db8c2da01c663cd","505,445.407838802489026582","No"
"0x539c9a90c3662c2f8e311e2b74de65fa42fb9a49","505,369.683907931117728824","No"
"0x9eb5bcd1001909b2e0d96ab3c4c7fd9313268f12","504,305.77165082361994473","No"
"0xf09d51f9c1fb6d29965c859d8476a7946c232fa7","502,552.754139836607358164","No"
"0x39bed9dd468f6689f589cc7363dc0f7adbc4952e","502,204.561762345547539887","No"
"0x8c866e9393321b5f4a08c0e5ad4664dcd5b02d5e","501,423.204025084061935352","No"
"0xef593788bd8f59d44ff7ce53e788ca911c59e8ed","500,632.655477810485158402","No"
"0xe019d46ba97530115c9f18a055b45f8870f51c4f","500,178.308751837040058016","No"
"0x736d2810d68d385983b9b199855be084b0ec6b90","498,576.44686835386281866","No"
"0xa00ea60fc9bffb462e664da4b32bf6d571f29c11","497,218.892901355439545276","No"
"0x52095a3d02ff59d6f17bfd0e426564cb2cfc6067","480,268.074753891934362555","No"
"0x6b5fd66bc4c23f8daef90831a12163a14f8ad970","473,433.290633800455188555","No"
"0xd8bf2ddb546c895889ef7a92db0162dff9ff4f52","471,804.950887019979644192","No"
"0xdfe79a23950d6ffd0d46fb1ca9124ea83fd5a70c","464,382.443453029285431612","No"
"0x82be66d11c827347b8c95a836b91e24283d9087e","457,827.072437732065777858","No"
"0x287e8205075b9702091232efe0a098d67e91294a","453,093.771337715802100009","No"
"0x6f521e2dd8a81dd70bfd8cd7b148ccefae38ec3f","452,870.159893549622752997","No"
"0x290e669c76d32f51ff231dc56be8c50d6ad7883b","451,755.003578690981714044","No"
"0x0d0372ed92bbd87274e680b991e2e80a99e1681d","450,523.54345516215058089","No"
"0xcda85b5e0088781f57f2a9a0880fab045d90b2ae","450,250.474675783086995867","No"
"0xdc266e0968131567b24639b9851ff70cb7e90c25","440,793.44208437147042687","No"
"0x1d72f4821720ba420c5450505ebeb6420bb6c16d","436,981","No"
"0x4e2e497ec7fd57c6604b1483f1fcdc5c38a48aab","436,618.197891927794073365","No"
"0x3efded3a55c4a487b7318eb2399714da53121d78","430,494.920781748529089838","No"
"0x4e3dabf668d7b34d160c37bd449b868bd30388b5","429,908.53492440713642452","No"
"0xdba6b6c43ecd5cf2ac5860ccf80ee857f2be8808","428,534.943326788186160541","No"
"0x14afd66e38098cb59c58c9b2e500adcccab15d6f","416,832.009136136546412848","No"
"0x38ac40080740e4a77a61303e3441440b1a9102c1","414,428.761950652743933494","No"
"0xdbcd04cfd09618943546906805fc3926e2ef56b4","407,930.996582298234235649","No"
"0x1b5e36805d4d9c1a483e03d69a71e6d0ff4d3191","406,774.3947","No"
"0x547087203b3f573e0bc346b593881b937e1d9064","404,996.57500847494288547","No"
"0xdbb0ec448780f43c89e8a321622b329a31025296","401,831.667251900160577396","No"
"0xecb57d25dc08ed128f1ca6e882ae3291d8c5dc4f","400,917.959882798090251273","No"
"0x303fd3c3b5ff7df5df01a277206fe77c89d507e5","400,224.866853030010393297","No"
"0x59ef3ae20c47eea883caf035b582694222eb8e64","400,000.000000287329118606","No"
"0x981f1ab135147e255f5589fa1be39874d01c499d","400,000","No"
"0xe1ad301143c0b89c670cfb1568dfdcd24c2a2705","399,631.259646541239015603","No"
"0xc72ab30067750b32da8a5c3dbf2c70950390147c","388,728.731912663915377287","No"
"0x6876232cf12c68e86339a0a5c8b95d4cf4c58013","387,264.270362462970385596","No"
"0xe6aff30e18e022cecf23c138758a5a612c48b96e","387,009.838197332145334984","No"
"0xb719b3bfb9a6e511bf1377899301fc99d15f0ab4","385,397.267947117836923495","No"
"0x43499a32a4c141613957083ec6b39732bcf99b67","384,867.61334001146847851","No"
"0xcdfc9d62bb8b84d584a16db8e33898cd0224d3b0","384,443.872874525551858627","No"
"0x28cb8fa8cfd2ed85b9f501400f3c39e79447029c","381,824.413542695535926124","No"
"0xd247bac834da08df79de025f5bd7f488a10e6e19","381,424.394896033202939453","No"
"0xeb873cb02262ecd576c7807416bbbbc8d8190abe","380,100.818813537098848864","No"
"0xbe6fc7aff36ae271caa9a370106106e9693e65cd","365,186.670175391783883473","No"
"0x860de30baf288efaefd90f2700358d26d4fc4444","365,103.322010619489569416","No"
"0x56e869d8b132fcb318cf1db7b83540475b8a41fe","363,080.757036482371485584","No"
"0x2bae654f1247a477f53e4316aa55ba30ed0971e1","360,940.643770989820498214","No"
"0x5fd61241ca78fa04aab5c7d8a54976c11fc0c301","354,550.627220375429921597","No"
"0x2ef8848cf82a56d9728a3f3afc8c9817f129add8","354,373.216065603666473563","No"
"0x94981263327135dd899dd248a0c0d7e049f3da07","350,580.374812312897944408","No"
"0x196eed06dde0841c2be26eed952e6ad4401988c5","350,156.669434737144771531","No"
"0x6a781f43f7a82f34adb47a463735bb4e73c27d9b","350,000.00000000002097152","No"
"0xc80336fb51d0372381362339200a70e2dc58c3f3","345,803.851667338168904767","No"
"0xdd82e6a1b9e3bbdad92db0c857a2d08afc6bdea2","338,745.494490952859304862","No"
"0x03ac401f50cd44e6084886bdc0b5b56dc53cd1f5","330,870.253658456133897859","No"
"0x1cf01f98d7580e77e8cba805ac97067b3b84354b","330,473.794125243274766219","No"
"0xc53991d4d1af27d412d6299b43978f8b899fa2f5","330,351.787881685196327587","No"
"0xebf23eca40d4411d2e4708857759ab6d8f8e917e","329,571.846622292171277084","No"
"0xa0434d73136e265642c688be7f4b5222f74ac431","328,283.473770985926989119","No"
"0x3d20b9a876727a891da24e66e8f7eed8e1a166e4","327,328.495935233410021644","No"
"0x1131a747cc42c3236edaa24eaa9499d9fe39a0b2","326,085.756859121125339124","No"
"0xb216fe0e356053b7bb31c3de03967fa7ff188c54","325,873.760953947671145286","No"
"0x895490a36ad3f42ff5e9b3e92fa6e8076ef464c8","324,128.395089545205568167","No"
"0xe2147eabb0789b46b869b2c86cde8231d355d10c","322,723.485415203196400634","No"
"0xc0e377d1a900e263b6afe6a5502b5a3b99c0b4ff","315,412.453394132116200073","No"
"0xa60c49ea0ac231024d7ebe37536136676c26a359","314,669.693370563418664215","No"
"0xde67de847cb2b30266dd2fee903bbdc8794c8a8d","314,198.577799623537627914","No"
"0xe1557d4b92413198fafdcce18d5efcb957299d89","312,921.546973352416200762","No"
"0x627665f29f763485bf2a7b326dc75ed7b907051e","312,290.250752465730746856","No"
"0x5963c6a4beea7b2200d57ab13bbe7417cf6ddb82","311,702.991840307347323019","No"
"0x26e4fc48d20f520d4711a710b06e4111a12e75c0","309,513.980794307688179815","No"
"0x49dea670fd33b55c01e682c21c6eef1746e1ed00","307,402.444738240966570023","No"
"0x5eb2bf453ed58b4a04ca4ab1bd3cf98541401d53","306,489.263887022887750699","No"
"0x5a8c08d3388de45ec9873f5a4608aa6958c45668","301,509.668534782023643237","No"
"0x116ec56778e5baf6fac444cc45a4a523a8d1ac2f","300,923.35100499451844027","No"
"0x1a3ae7a75956408fe9604fba80bbcdbb7a7656e7","300,328.017606102471188044","No"
"0x4708dbf881125b134381f38ec791e04affc09535","300,200","No"
"0x72a5689853913083ac6a396377a5a89d5a18f0c5","300,099.889870033436788668","No"
"0x23c34e0297f7e758188b516db4dd1ee58bc916d1","295,805.570961385355850966","No"
"0xd0c29649e3cf4d0064c88ba35ff2b07bbaae4e4a","294,057.544907303865823076","No"
"0x341a3e324f240c9de8ba3d866635fdd31c6fbbbe","291,119.367633766172780241","No"
"0xfdb4b197a735f2e9edc68c453b6975722bb866c1","290,969.084114163607789477","No"
"0x799f8106aec52d7f83b17f50d21fe65b41d2c4fb","290,021.776499941870466256","No"
"0x7e79ded4ef341b06b0dc523c4f6d2d2b2a4534d5","287,111.935019219710883036","No"
"0x61788e55800d375ae7f79789d4b48d1409f14718","287,024.307962381448436126","No"
"0xe98d340164b580dece20b5b4469fbfcbc51306d9","286,457.463007693227470395","No"
"0x0dd4898c7816f92bf96f7a387acc7a0371e9492f","285,667.350159574378008123","No"
"0xdd0f12b49e94fd4e99f106c08e4b4e3536420b55","285,650.462070331101760887","No"
"0x7d2716f09fd6e3718ead67809c7bc8880d448d4b","285,341.844393156068237423","No"
"0x22e452c947d414a6b6ae604b805c3696e7d74618","284,381.543423119647217929","No"
"0x205dd6f4daf4a789f441e5ae079a096e0bd415d8","283,404.171323725934224123","No"
"0x6166bd71c8baffd2b39258bebe6a128f068c1706","281,601.876556256795757698","No"
"0x3aef5a81a1a39cf253035a01ea67fe9f336a8ea8","279,102.870643749671113629","No"
"0xe62252dfcdf21b2a69e3bd2360d74b5e4893994a","277,206.052169443700937229","No"
"0xd09163b4d874491e55e9ab59bdbbe4804cbb81f1","274,285.90921748505563791","No"
"0x4227c494b2566dc321227a82353dcca69e167765","272,832.04326903763989432","No"
"0x9e493a052752c6937f278f975fbed640b038cb80","270,698.012049468486485282","No"
"0xdd6ad10bb1d800e46654b8264f5d039b46b010d9","266,097.66154994961918513","No"
"0x96c3b5328c4a46be4af8d1985045f40df5625ddf","265,858.095808423393115188","No"
"0xe986f033ddd4288c59f03e9bc54d1ec1dad9ed28","265,014.397051766155459729","No"
"0xab5b1bff8c48861ebdf200f01d84771fc8bcd075","263,799.163113370751329911","No"
"0xf85fa64a2a7d7da947aceb769c834362a1d5f6d5","263,064.306810125286731102","No"
"0x601f8d85c87dcdc8961aa10cb034ea3d85dcb32f","262,926.440710082586931858","No"
"0x492cc1a1d5aacbbc6e64fc39f0fb81c6330fca09","262,190.568983487389732315","No"
"0x4b4d26e1e9115383344287ecdb844b1a018b728a","260,289.85459607229332035","No"
"0xb4ea4e90fe7319ea841b52f39f344296453e2836","258,648.359614561023175543","No"
"0x6a7e57514f738f249694085f8628b9303532f5a5","257,288.75449497346440185","No"
"0xd337ae6ec04b0da56efd3fbacda9f0112bee0ad7","257,189.257041178630230833","No"
"0xe06c8c5e14fc5bc03ca3d00363e1955ebff67396","254,792.932111595386850143","No"
"0x53aca43bb4728a50ca8d8a5166b46a7496218c82","250,675.216362281815234262","No"
"0xae55cb31a802843acb21dec44483f4e26decbe5f","245,782.717755036836014508","No"
"0x7bfaa50baf87581a2be3e93286c83c2e655b95f8","245,036.902945803832631014","No"
"0x1e9eaadd1b76882bc023914d4bf3958ff51d4419","244,413.711359588132904054","No"
"0x9231e595588a00a5e00a3f0c22a489ab290d1a98","244,265.081561482918325718","No"
"0x28c162aef5fba2eb537632ac45a6bb0cf78284f7","240,042.653726096838590316","No"
"0x9cc78b5995b6cca3589aeb3800689dcde5aa94a5","238,586.03569708698393851","No"
"0x5d1367778e5fdaf70f5dcdd1fcddc03d6ef44f9b","238,395","No"
"0x7b6aaf567d228debfb89ef6156699e1950bc1b85","232,972.660461510668248274","No"
"0x38b3d71082bc7a26f0ed5e8c0e14968e31f140b1","231,930.21093546870459478","No"
